iter	Logloss
0	0.6725154905
1	0.6538097423
2	0.63742662
3	0.6225163079
4	0.6082345021
5	0.5952572847
6	0.5823015601
7	0.5699112569
8	0.5621099332
9	0.5526369483
10	0.5426869714
11	0.5343608959
12	0.5261867459
13	0.5197584975
14	0.5130941833
15	0.5068843392
16	0.5017180208
17	0.4949499242
18	0.4899358729
19	0.4838801371
20	0.4797447501
21	0.4754453836
22	0.4734755374
23	0.4694438544
24	0.4653636678
25	0.4635068191
26	0.4590972872
27	0.4561793017
28	0.4531278324
29	0.4504105602
30	0.4480014824
31	0.4452634748
32	0.4434005465
33	0.4410839295
34	0.4392282201
35	0.4371953628
36	0.4349983033
37	0.4334118557
38	0.4322555752
39	0.4308916248
40	0.4297492054
41	0.4287614653
42	0.4274552349
43	0.4258053227
44	0.4244065808
45	0.4230980017
46	0.4223367693
47	0.4214512597
48	0.4204202636
49	0.4200282095
50	0.4192838484
51	0.4181837742
52	0.4173203744
53	0.4166633111
54	0.4161422902
55	0.4149084729
56	0.4140169343
57	0.4132949133
58	0.4126157473
59	0.4125174268
60	0.4112040254
61	0.410124524
62	0.4091796355
63	0.4087049424
64	0.4082129726
65	0.4076123739
66	0.407194597
67	0.4066665789
68	0.4060886688
69	0.4058699994
70	0.4057667077
71	0.4052742115
72	0.40488622
73	0.404537215
74	0.4039484589
75	0.4035157149
76	0.402984168
77	0.4026098411
78	0.402227974
79	0.4016896343
80	0.4014016445
81	0.401204764
82	0.4009797379
83	0.4005640427
84	0.4001273363
85	0.4000835723
86	0.3999195544
87	0.3997143744
88	0.3992600566
89	0.398986705
90	0.3983857049
91	0.3982524045
92	0.3979181314
93	0.3977592319
94	0.3976156384
95	0.3973056156
96	0.3970733062
97	0.3968342204
98	0.3965965028
99	0.3963088671
100	0.396063838
101	0.3957647845
102	0.3953905617
103	0.3953132041
104	0.3950122092
105	0.3948992696
106	0.3946303111
107	0.3942904271
108	0.3941378448
109	0.3940029562
110	0.3937632983
111	0.393631775
112	0.3934860087
113	0.3933173116
114	0.3932159348
115	0.3930891088
116	0.3930531703
117	0.3930315497
118	0.3928421436
119	0.3926664547
120	0.3924649897
121	0.3924013363
122	0.392336146
123	0.3921125182
124	0.3920243262
125	0.3918935465
126	0.391892734
127	0.3916592984
128	0.3915829623
129	0.3914769324
130	0.3914003924
131	0.3913998733
132	0.3913193548
133	0.3911736212
134	0.3911159699
135	0.3910247756
136	0.3909974901
137	0.3907716016
138	0.3906454332
139	0.3905679205
140	0.390482106
141	0.3903888289
142	0.3903782366
143	0.3903077185
144	0.3902287855
145	0.3901453535
146	0.3900452999
147	0.3899194155
148	0.3898420925
149	0.3897482849
150	0.3896856617
151	0.3895740725
152	0.3894854185
153	0.3893574881
154	0.3893107655
155	0.3892665601
156	0.3892543319
157	0.3891568793
158	0.3890735856
159	0.3890078212
160	0.388834161
161	0.3886053678
162	0.388491031
163	0.3884907785
164	0.3884145955
165	0.3883551249
166	0.3882855131
167	0.38820136
168	0.3881098968
169	0.3880782427
170	0.3880027652
171	0.387971234
172	0.3879481042
173	0.3878889896
174	0.3878233283
175	0.3877935909
176	0.3877253916
177	0.3876237587
178	0.3875354151
179	0.3875238013
180	0.3874024291
181	0.3873828516
182	0.3872835371
183	0.3872323312
184	0.3871694019
185	0.3871151261
186	0.3870998479
187	0.3870274494
188	0.3869839072
189	0.3869626638
190	0.3868752971
191	0.3868442688
192	0.3867890147
193	0.3866923275
194	0.3866532353
195	0.3865820298
196	0.3865425091
197	0.3865294774
198	0.3864668705
199	0.386369012
200	0.3863429234
201	0.3863429667
202	0.3862416955
203	0.386177744
204	0.3861092912
205	0.3860499281
206	0.385982763
207	0.3859347693
208	0.3859013706
209	0.3857859897
210	0.3857316335
211	0.3857314532
212	0.3856878852
213	0.3855741429
214	0.3855239925
215	0.3854685821
216	0.3854284617
217	0.3853599805
218	0.38530278
219	0.3852380111
220	0.3852025064
221	0.385068544
222	0.3850026857
223	0.3849677406
224	0.3849089157
225	0.3848406946
226	0.3847918558
227	0.3847652006
228	0.3846981118
229	0.384641165
230	0.3845552596
231	0.3845289791
232	0.3845260189
233	0.3844815046
234	0.3844457089
235	0.3844200636
236	0.3843134394
237	0.3841483217
238	0.3841029227
239	0.3840511561
240	0.383966338
241	0.3838928129
242	0.3838572936
243	0.3837933319
244	0.3837169027
245	0.3836650277
246	0.3836248789
247	0.3835945777
248	0.3835471283
249	0.3834365569
250	0.3833930887
251	0.383346961
252	0.3833189825
253	0.3832959771
254	0.3832455653
255	0.3831969598
256	0.3831151024
257	0.3830107453
258	0.3829242137
259	0.3828855993
260	0.3826746424
261	0.3826453789
262	0.3826058304
263	0.3825635477
264	0.3825111199
265	0.3824476613
266	0.3823849553
267	0.3823157175
268	0.3822824781
269	0.3821200727
270	0.3820506327
271	0.3820050263
272	0.3819335117
273	0.3818896213
274	0.3818333409
275	0.3817309916
276	0.3816510069
277	0.3815352577
278	0.3815064432
279	0.3814520759
280	0.3813766543
281	0.3813235072
282	0.3811751457
283	0.3811615397
284	0.3811349348
285	0.3810915794
286	0.3810003847
287	0.380891598
288	0.3808222218
289	0.3807547538
290	0.3807004652
291	0.3806415422
292	0.3805603296
293	0.3804632409
294	0.380400226
295	0.3802565038
296	0.3801978775
297	0.380165635
298	0.380092777
299	0.3799957054
300	0.3799186456
301	0.3798778096
302	0.3798331093
303	0.3797370306
304	0.3796875704
305	0.3795977791
306	0.3794367262
307	0.3794041086
308	0.3793112759
309	0.3792078489
310	0.3791105759
311	0.3790022186
312	0.3789381169
313	0.3788897371
314	0.3787861707
315	0.3787052884
316	0.3786268798
317	0.3785799312
318	0.3785200911
319	0.3784793021
320	0.3784128624
321	0.3783225159
322	0.3782619464
323	0.3782036786
324	0.3781525057
325	0.3781032239
326	0.3780534444
327	0.3779813517
328	0.3778497446
329	0.3777660467
330	0.3777367653
331	0.3776384426
332	0.3774743612
333	0.377393471
334	0.3773136555
335	0.3772305803
336	0.3771060488
337	0.3770429556
338	0.3769872374
339	0.3768690211
340	0.3767936654
341	0.3767414338
342	0.3766864885
343	0.3766066047
344	0.376531544
345	0.3764211463
346	0.3763704967
347	0.3763101034
348	0.3762708661
349	0.3762257023
350	0.3761055499
351	0.3760586905
352	0.3759783374
353	0.3758813829
354	0.3758455242
355	0.3757464907
356	0.3756215884
357	0.3755670919
358	0.3755095016
359	0.3754716684
360	0.3754188309
361	0.3753530796
362	0.3752943604
363	0.3752352907
364	0.3751615659
365	0.3750310721
366	0.3749370325
367	0.3748389831
368	0.3747669065
369	0.3747329246
370	0.3745859604
371	0.3744503669
372	0.3743754245
373	0.3742781085
374	0.3742161106
375	0.3741303933
376	0.3740291633
377	0.3739929732
378	0.3739136862
379	0.373886506
380	0.3738188185
381	0.3737454947
382	0.3736784793
383	0.3735877324
384	0.3735451237
385	0.373513844
386	0.3734514392
387	0.3734111974
388	0.3733266777
389	0.3732874313
390	0.3732154321
391	0.3731588199
392	0.3730684054
393	0.3729831547
394	0.3728516894
395	0.3727492916
396	0.3726395394
397	0.3725636843
398	0.3725134669
399	0.3724523342
400	0.3723816004
401	0.3723462446
402	0.3722938061
403	0.3722619519
404	0.3721904751
405	0.3721601834
406	0.3720955622
407	0.3720194611
408	0.3719773778
409	0.3719091915
410	0.3718520443
411	0.3717940905
412	0.3717414947
413	0.3717052714
414	0.3716391363
415	0.3715740728
416	0.3714659518
417	0.3713942814
418	0.3712463786
419	0.3711766197
420	0.3710971553
421	0.3709801448
422	0.3709324067
423	0.3708947999
424	0.3708423162
425	0.3707391637
426	0.3707041602
427	0.3705889366
428	0.3705291785
429	0.3704174488
430	0.3703762991
431	0.3703401822
432	0.370298219
433	0.3702344384
434	0.37015693
435	0.3701427412
436	0.3700454588
437	0.36990742
438	0.3698629015
439	0.3698299343
440	0.3697992666
441	0.3697209679
442	0.3696870372
443	0.369654234
444	0.3695819216
445	0.369537868
446	0.3695015697
447	0.3694239635
448	0.3693828746
449	0.3693229609
450	0.3692713644
451	0.3692458792
452	0.3691818736
453	0.3690956953
454	0.3690264485
455	0.3689001674
456	0.3688592566
457	0.3687624416
458	0.3687090932
459	0.3686427286
460	0.3685393057
461	0.3684854463
462	0.3684405532
463	0.3683374221
464	0.3682923396
465	0.3682702302
466	0.368242712
467	0.3681989554
468	0.3681074435
469	0.3680296005
470	0.3679868699
471	0.3679369897
472	0.3678155623
473	0.3677377039
474	0.3676978076
475	0.3675844952
476	0.3675418024
477	0.3675167389
478	0.3674787866
479	0.3674147528
480	0.3673538914
481	0.3672854918
482	0.3672104445
483	0.367147718
484	0.3670675065
485	0.367001402
486	0.3669307482
487	0.3668844529
488	0.3668300981
489	0.3667832719
490	0.3667286623
491	0.3666892503
492	0.36660791
493	0.3665834384
494	0.3665333193
495	0.3664738967
496	0.3664347021
497	0.366367557
498	0.3662912037
499	0.3662673033
500	0.3662127041
501	0.366153249
502	0.3661201759
503	0.3660851632
504	0.3659954587
505	0.3659239537
506	0.3658882184
507	0.3658557105
508	0.365758658
509	0.3656999319
510	0.365615715
511	0.3655104798
512	0.3654313006
513	0.3653846026
514	0.3653113407
515	0.365228616
516	0.3651808432
517	0.3650585552
518	0.365020075
519	0.3649761683
520	0.3649176385
521	0.3648744774
522	0.3647602643
523	0.3646830476
524	0.3645567982
525	0.3644734617
526	0.3643895317
527	0.3643274574
528	0.3642765679
529	0.364179144
530	0.3640747628
531	0.364053607
532	0.3639953361
533	0.3639541077
534	0.3639107176
535	0.3638788829
536	0.3637813927
537	0.363734994
538	0.3636576144
539	0.3636287401
540	0.3635823932
541	0.3634843336
542	0.3634401225
543	0.3633977612
544	0.363336399
545	0.3632979465
546	0.3632335754
547	0.3631702697
548	0.3631188751
549	0.3630586239
550	0.363021336
551	0.3629762292
552	0.3629352487
553	0.3628834907
554	0.3627907467
555	0.3627512022
556	0.3626272783
557	0.3625682541
558	0.3625242208
559	0.3625052456
560	0.3624173214
561	0.3623452937
562	0.3622947597
563	0.3622206495
564	0.3621356973
565	0.36210799
566	0.3620364264
567	0.3619641693
568	0.3618630864
569	0.3618046651
570	0.3617516663
571	0.3617282097
572	0.3616467155
573	0.3616061754
574	0.3615570627
575	0.361468037
576	0.3614282683
577	0.3613220818
578	0.3613015185
579	0.3611653153
580	0.3610897963
581	0.3610110221
582	0.3609443503
583	0.3609239966
584	0.3608938876
585	0.3608225207
586	0.360808174
587	0.360783979
588	0.3607642939
589	0.3606630842
590	0.3606249211
591	0.3605786449
592	0.3605318072
593	0.3604854323
594	0.360415763
595	0.3603160222
596	0.3602108193
597	0.3601686711
598	0.3600996019
599	0.3600388481
600	0.3599468971
601	0.3598307721
602	0.3597829693
603	0.3597018826
604	0.3595931253
605	0.359574623
606	0.3595211117
607	0.3594844446
608	0.359373326
609	0.3592927404
610	0.3592753186
611	0.359239808
612	0.3592132308
613	0.3591209965
614	0.3590988788
615	0.3590576511
616	0.3590214075
617	0.3589916241
618	0.3589349471
619	0.358869223
620	0.3588348954
621	0.3587968206
622	0.3586967504
623	0.358604835
624	0.3585672198
625	0.3585369974
626	0.3584793548
627	0.3583764593
628	0.3583476763
629	0.3582840529
630	0.3582349374
631	0.358194483
632	0.3581247315
633	0.3580672465
634	0.358049704
635	0.3579709234
636	0.3579443291
637	0.3578928604
638	0.3578590003
639	0.3577398789
640	0.3577032832
641	0.3576780391
642	0.3576375796
643	0.3575842058
644	0.3575153791
645	0.3574373343
646	0.357348077
647	0.3572611664
648	0.3572155029
649	0.3571886825
650	0.357172947
651	0.3571308366
652	0.357062769
653	0.3570249575
654	0.3570120881
655	0.3569422644
656	0.3569056472
657	0.3568177777
658	0.3567362486
659	0.3566957981
660	0.3566175783
661	0.3565647685
662	0.3564895091
663	0.3563881416
664	0.3563330929
665	0.3563166806
666	0.3562669726
667	0.3561997828
668	0.3561408459
669	0.3560875238
670	0.356071011
671	0.3560390167
672	0.3559938893
673	0.3559056782
674	0.3558208365
675	0.355805077
676	0.355766253
677	0.3556984284
678	0.3555803641
679	0.3554660184
680	0.3554112408
681	0.3553741084
682	0.3553044388
683	0.3552933855
684	0.3552240512
685	0.3551632937
686	0.3551157498
687	0.3550532006
688	0.355024148
689	0.3549355011
690	0.3548920783
691	0.3547859875
692	0.3547291386
693	0.354642975
694	0.3546084819
695	0.3545571288
696	0.3545363095
697	0.3544082503
698	0.3543911799
699	0.3543279777
700	0.3542991336
701	0.3542772758
702	0.3542575206
703	0.3542417812
704	0.3541847548
705	0.3541042409
706	0.3540558439
707	0.3539916908
708	0.3539235146
709	0.3538744802
710	0.3538155023
711	0.3538014243
712	0.3537772353
713	0.3536584115
714	0.3536059721
715	0.353570381
716	0.3535075213
717	0.3534943409
718	0.353463338
719	0.3534248492
720	0.3533452554
721	0.3532906476
722	0.3532545648
723	0.3531942385
724	0.3531198581
725	0.3530405299
726	0.3530217768
727	0.3529987833
728	0.3529454907
729	0.3528968525
730	0.3527945718
731	0.3527724138
732	0.3527318443
733	0.3526409402
734	0.3526040697
735	0.3525656067
736	0.3524632197
737	0.3524123324
738	0.3523772413
739	0.3522846781
740	0.3522099534
741	0.3521034138
742	0.3520530165
743	0.3519781724
744	0.3518858189
745	0.3518507722
746	0.3517881881
747	0.3517303806
748	0.35168443
749	0.3516001067
750	0.3515232937
751	0.3515098806
752	0.3514397032
753	0.3514029235
754	0.3513563807
755	0.3513090257
756	0.3512152421
757	0.3511323659
758	0.3510597746
759	0.3510287427
760	0.3510119868
761	0.3509605786
762	0.3509183518
763	0.3508616024
764	0.3508024415
765	0.3507377623
766	0.3506950679
767	0.3506769882
768	0.3506453315
769	0.3506201335
770	0.3505416677
771	0.35047594
772	0.3504505541
773	0.3503940339
774	0.3503476611
775	0.3503182209
776	0.3502494455
777	0.3501088006
778	0.3500598771
779	0.3499659341
